Company Name,Verticals,Financing Stage,Region,Company Description,Company Highlights,Pitch Deck,Get Connected,Founder Name,View LinkedIn,Pitch Video (if available),View Website,State,Country,Accelerator Program
cloudoor,Cloudtech and DevOps,Seed,United States,"Next-Gen platform for developers to create code, move it to the cloud, and confidently deliver it to customers.","'- $30K monthly recurring revenue
- Currently managing +17M daily API requests through the platform
- 2X Founder; bootstrapped first company (BeOpenIT) to €4 million ARR",Cloudoor_Deck.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/QFjYMM8rPRTvTjyTT0gZ0w/4bWLWJMBjoGDmuZVqB_aCe87xURePku6-ksYP7mOMdX0TPY5GVOPgRoBWK9-FgabI23hAO1pSAj43lXZL23AEWY9oAfNiuiqb6J9eqwRS2okzSoGf-h2y18yJDNfM2w4bXuiKpEJ29EjDsj3PMH2iw/Hoo_YtJinsljDrUllYJxDG6DIbslhRPvKWgSlQycKoc),https://brdg.app/s/uv2rnw,Aliou BA,https://www.linkedin.com/in/iamaliouba/,,https://www.cloudoor.com,California,United States,Techstars Miami powered by J.P. Morgan
Apeiron Space Co.,"Construction technology,Manufacturing,Space tech",Pre-Seed,United States,"Apeiron is developing a fully reusable rocket capable of 25 metric tons to low earth orbit, with a modular plug-and-play architecture, providing on-demand launch in as little as 24 hours from a single site. ",#NAME?,Apeiron Pitch Deck (Investor Reveal).pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/9xTnxZryqeuRsAGM8M-F6w/oGQC8yYjjTWJUYwe7KYY147rvIKCMEPXded2qUeInwqj-6iKifm3m5H7-fs85SB7f7xkIduDbIXRC7XEYe0y2TOoANUeN987g4_nfHG3d9wp0-vZWggUoRKQ4ZXxerHSw0gHqxCy_thLyb9OjzzWaHPP8bUVeJ75tMc-R8fu20M/cG1OrXNSS6v8JT-x0DCzui9OHKpwhORJBx7ufvLm9yU),https://brdg.app/s/88tzlw,Christopher Newton,https://www.linkedin.com/in/ccnewton82/,https://fast.wistia.com/embed/medias/d6az4v3rh9,www.apeiron-space.com,California,United States,Techstars Space Accelerator
CarbonBright Inc.,"Big Data,Climate tech,Supply chain technology",Seed,United States,"CarbonBright's B2B SaaS Platform empowers the CPG industry to measure & reduce (Scope 3) GHG emissions at the product level, ensuring regulatory compliance and fostering more sustainable & resilient supply chains.","'- Recently completed Pilot with top UK retailer, Marks & Spencer, validating approach and the effectiveness of the solution. 
- Completed development of our AI-powered automated Life Cycle Assessment (LCA) engine, and successfully launched our SaaS application MVP.
- Signed & onboarded 5 SME Brands into our early adopter program and became revenue generating.
- Launched a new partnership with the sustainability consulting practice of BSI.",CarbonBright Deck_ 2024.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/89WsNBzSdsv0nmu-yS-hqg/mGkQs5tUjj5a_QrTASkl5jyJmihm1DPejlJKzYWEyof5NEmYJPKn-4hRsvdcoqC7crDPDLSpv73hsy7VqmSZc4e4EbmuoAWAEenWeXRjwZTH6Zq9cEvhrW_GtME5NJBlbUPrcZK4ERgsqi5SA7fjcWPrd8w35X15IkW9PgqUajs/phHczw0etkMHgGNIZ8qBmfW0WmDCosfgItzfUmgRtd8),https://brdg.app/s/u40nks,David Rodrigues,https://www.linkedin.com/in/davrodrigues/,https://fast.wistia.com/embed/medias/rplxf523tl,https://www.carbonbright.co,Oregon,United States,Techstars Sustainability Paris Accelerator
Textual,"Age Tech,Fintech,Mobile commerce,Mobility tech",Series A,United States,"Every smartphone has the power to simplify digital commerce down to a simple text message.

We call it Text-to-Buy.  Our SaaS platform allows brands to sell products directly inside text message.  No more App to download, no click by click checkouts.","'- Hugely successful program with Estee Lauder that generated $7m in new revenue in 2023, and is estimated at $14m in 2024 in incremental direct sales
- Demonstrating early product-market fit and value creation with MRR hitting $57k in December 2023; ARR is estimated at $1.2m in 2024
- Growing interest from Fortune 500 brands (Chick-fil-A, Starbucks, PepsiCo, and others)
- Launched various embedded payment technologies into text message this year",Untitled document.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/egGEWIgmtxyL5pn2o0Gjvw/EE3QkDAAIkeMU7vLXn_tyZTGs4qwY2bbN6gqO6OdIuvfBkvZFKf6yhiYnWCLL39iswjlGd9wTHRpeF19yBSHuQycMljbWsqxC7yBIk-xUDW6VQeM5sNemLDbLCAhuqI1yLZAGO5MMHbVpovrk7ZqKQ/PBGXJtsDO58ZQwAQyUKa0nTv3W8RtWTVsm2e36pEXkU),https://brdg.app/s/ktavmq,Blu Atwood,https://www.linkedin.com/in/blu-atwood/,https://fast.wistia.com/embed/medias/gu4fi16hrq,www.textual.com,Idaho,United States,Techstars Los Angeles powered by J.P. Morgan
SplitEV,"Cleantech,Infrastructure,Micromobility,Mobility tech",Seed,United States,"SplitEV revolutionizes EV charging with a unique network that combines private infrastructure, offering accessible and eco-friendly charging solutions, and leading the charge towards sustainable transportation.","- Honored in the Pepperdine Most Fundable Companies List, SplitEV demonstrates a robust, impactful business model in the EV space, offering a promising investment opportunity.
- Collaborations with renowned institutions like the University of Pennsylvania and York University underpin our commitment to innovation and market expansion in North America and Canada, offering consumers advanced, research-backed EV charging solutions.
- Participation in the NVIDIA Inception Program highlights SplitEV's commitment to leveraging advanced AI technology, ensuring continuous improvement and scalability of our services.
- Reflecting strong market demand, SplitEV's user base has seen significant growth, indicating its service's relevance and appeal to both EV drivers and property hosts.",SplitEV2023-compressed.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/dLtb8gfmgVisx5s4BAlAVQ/PVPP-lAkf5bsB6JTv644wPZuj2hf-tlHmNX3VTTubttQj49m0ZexD456dmeMAychyBiPR2uq2JgiwaFiZyhNbCveh_338NVEFyHNPbFJCZ2kOV0_OBNgDF1CAxpzFzXG0Kcc_YPqR2JJPH8LoYifiuiswR-F6M5CvIitscJHIJM/35VNYOnEIw13nsTzxNQVAZCwOd-UT43rGpDZ3BB5Xuk),https://brdg.app/s/xhl8ke,Abi Odugbesan,https://www.linkedin.com/in/abiemanuel/,,https://SplitEV.co,New Jersey,United States,Techstars Alabama EnergyTech Accelerator
Esper Satellite Imagery,Space tech,Seed,Oceania,"Esper builds hyperspectral sensors and launches them into orbit to provide never seen before data of the Earth's geology to resource-based industries such as agriculture, mining, and oil and gas.","- $320k in booked binding revenue; close to $1M in bookings in the pipeline
- Two satellites launching in March 2024
- Manufacturing advantages allowing us to launch two satellites for under $1M",EsperDeck.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/t9simXhm5FuySYFBClQ2AA/1WULPfnOfiQ4RBOCyhb0STnlCjHnjyF-VXQRRwL9DSrVvBIBPibGWRggWmEc9BXRHi-BYz5n7tCZaCuDOjhJj3yQwHswxaO9-TlqnYDouod7Bo_vMexRCByOJkLUn3vxHjiV7wA09uVSdLv-aUgLgA/odSAktvjIvtf31BfXZzS-tqH0iO5Kz79zrIJhEiGEf8),https://brdg.app/s/oxoyqt,Shoaib Iqbal,https://www.linkedin.com/in/shoaib-esper/,https://fast.wistia.com/embed/medias/qhfdabdsjf,https://espersatellites.co,,Australia,Techstars Space Accelerator
ZippiAi Inc,"Artificial intelligence and machine learning,Future of work",Seed,United States,"ZippiAi provide personal Ai assistant to help and assist Maintenance engineers & technicians in performing their daily troubleshooting activities and knowledge sharing. 
","- Our first contract signed by company owned by Anheuser-Busch
- Verbal confirmation to sign 3 more contracts in coming days
- 55 new companies in the pipeline",ZippiAi presentation.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/tuDr5Dr-uAITcH4SpJ-4CQ/ACfpomljDkKdh6_UaB4DcksYOo_vrmZLCzts0mzKod0SACtfltsB320Cys7foXYFTIylJuSvoCoeFCewVbQuomwZmUU3uElx4vhbXQpeu6Ju4CpcB3oYxustjNEVLo0TvctEaPEtgQ_Ber7zycNPoJG9bOUWEdJJ-68zIKsdQzI/13NnC7u26WKMsOiQCRNICCbX4TU-3uJbv5_jUuImS_w),https://brdg.app/s/uaonkr,Upinder Singh,https://www.linkedin.com/in/upinder-singh-b500a3b4,https://fast.wistia.com/embed/medias/hzoivs1j8b,https://www.zippiai.com,California,United States,Techstars Seattle Accelerator
Ediphi,"Future of work,Artificial intelligence and machine learning,Virtual reality",Pre-Seed,United States,"A dual-sided marketplace leveraging VR and responsive AI enabled training to bridge university students and hotels, fostering career growth while streamlining hotel staffing and training processes. 
","- Partnered with 32 hotels.
- Trained 10,000 students.
- 54 University Partners.
- $1.6M in revenue",Ediphi Deck 012024.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/Z4IWCFfSVWrkaoYYkvKHvA/qTdmrE-vAPC9DbIEX8szd564E7A0hdwrH2WraY5Uo_6M2kTexIVkhy6-p7WDW00EQC0eVnLEY6y1jdI6ix8HpBlvCcp3PPPKvzLRhqp07URVspwsR6066JzAsVJ0gcCnNK2dOWqwin7_YoawuPaviQ/86NUbG2CNQ-5Gp8UMKXlbi6YTEIaBzBUH1kPLZ9Wd3U),https://brdg.app/s/kax4fs,Cristina Imperial Carl,https://www.linkedin.com/in/cristina-carl/,,www.goediphi.com,Texas,United States,Techstars Boston Accelerator
Kilsar ,"Artificial intelligence and machine learning,Big Data,Infrastructure",Seed,United States,"Kilsar, an AI-driven predictive maintenance platform for aerospace and infrastructure, accelerates skill development by capturing legacy knowledge via deep learning infrastructure and synthetic data annotation to diagnose maintenance problems.","- Won over $2M in federal/state nondilutive contracts in FY23.
- Landed first commercial customer for $25k ARR in December of 2023.
- Multiple LOIs with commercial customers for 2024 that are unpaid pilots. 
- Grown product usage to over 60 active users and several customers including but not limited to Defense, Aerospace, and Agriculture.",Kilsar _ Final Deck (13).pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/CNIJnGI7atVjefiPmiMVKQ/Y8hgZt2oWZmEmVYw4bmBqDURc4AQw1t-Lh9TxAdwt_eQSGlhF-Ns88noisTVwtpsVWWw6Bj_vPhlS0nRIW72g74VYdpymEXo41wn0pTsjWf3PAvde5yQv9d8lfiZmqGRUZ4O0AqTRJKIDrxEbVGUeILdUbJIGwCKA_Ei84clT5o/4D1NZ52mbhh8V5BT40WDe4laNvO-VUzorw6qMWzWNIw),https://brdg.app/s/7ff38x,Brendan Lawlor,https://www.linkedin.com/in/brendan-lawlor-481625103/,https://fast.wistia.com/embed/medias/yvk4tnx72s,https://www.kilsar.com/,Washington DC,United States,Techstars Los Angeles powered by J.P. Morgan
TalkStack AI,"Artificial intelligence and machine learning,Audiotech",Seed,United States,Building hyper-realistic Voice AI Agent powered by LLMS for Enterprise,"- Launched beta last week, secured $72k ARR.
- Moving forward with paid pilot with Top 15 Global Insurer.",TALKSTACK AI_Investor Deck_15 Jan 24.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1708120800000/871BK8y8JNn8-ppzK2udxg/vjFsH28o03mWu6MM4hzr-eLC8DINq_67k5xlNM3BfDTzkvUQv9zDmqQQ5kYifbyJLcZDmMl6xv2TBNOtSjcTdBtjr11UlOLOQaLAvK3j5yvNh5hpcGS5zbveCYfqf6RSRYeQi0dDxrhVFezFSMc3gM2zVrxDIsvK93Pg8SuvL_k/kALJVqYao88Vhm2DEPCVpIRdzx0sm9NjHpL4SYdV-FE),https://brdg.app/s/2l1zit,Eunice Wong,https://www.linkedin.com/in/eunicewes/,https://fast.wistia.com/embed/medias/cnm7w82dfe,https://www.talkstack.ai,California,United States,Techstars Seattle Accelerator
